trans_date,transaction_amount,co_fee,org_amount,co_fee_other
2020-06-29,225100,5300,219800,5100
2020-06-29,183600,3650,179950,3600
2020-06-29,306000,0,296000,5100
2020-06-29,245100,5300,239800,5100
2020-06-29,152650,3650,149000,3600
2020-06-29,245100,5300,239800,5100
2020-06-29,306000,0,296000,5100
2020-06-29,306000,0,296000,5100
2020-06-29,62700,2700,60000,2700
2020-06-29,306000,0,296000,5100
2020-06-29,62700,2700,60000,2700
2020-06-29,225100,5300,219800,5100
2020-06-29,225100,5300,219800,5100
2020-06-29,123600,3650,119950,3600
2020-06-29,62700,2700,60000,2700
2020-06-29,225100,5300,219800,5100
2020-06-29,225100,5300,219800,5100
2020-06-29,62700,2700,60000,2700
2020-06-29,225100,5300,219800,5100
2020-06-29,366000,6500,359500,6000
2020-06-29,52700,2700,50000,2700
2020-06-29,123600,3650,119950,3600
2020-06-29,42300,0,32300,1750
2020-06-29,486500,7000,479500,6500
2020-06-29,306000,0,296000,5100
2020-06-29,366000,6500,359500,6000
2020-06-29,225100,5300,219800,5100
2020-06-29,225100,5300,219800,5100
2020-06-29,306000,0,296000,5100
2020-06-29,245100,5300,239800,5100
2020-06-29,225100,5300,219800,5100
2020-06-29,52700,2700,50000,2700
2020-06-29,225100,5300,219800,5100
2020-06-29,245100,5300,239800,5100
2020-06-29,123600,3650,119950,3600
2020-06-29,225100,5300,219800,5100
2020-06-29,306000,0,296000,5100
2020-06-29,366000,6500,359500,6000
2020-06-29,306000,0,296000,5100
2020-06-29,52700,2700,50000,2700
2020-06-29,82700,2700,80000,2700
2020-06-29,245100,5300,239800,5100
2020-06-29,52700,2700,50000,2700
2020-06-29,225100,5300,219800,5100
2020-06-29,52700,2700,50000,2700
2020-06-29,52700,2700,50000,2700
2020-06-29,306000,0,296000,5100
2020-06-29,52700,2700,50000,2700
2020-06-29,306000,0,296000,5100
2020-06-29,103600,0,93600,2700
2020-06-29,62700,2700,60000,2700
2020-06-29,225100,5300,219800,5100
2020-06-29,225100,5300,219800,5100
2020-06-29,225100,5300,219800,5100
2020-06-29,245100,5300,239800,5100
2020-06-29,225100,5300,219800,5100
2020-06-29,225100,5300,219800,5100
2020-06-29,306000,0,296000,5100
2020-06-29,225100,5300,219800,5100
2020-06-29,42350,2350,40000,2300
2020-06-29,42350,2350,40000,2300
2020-06-29,52700,2700,50000,2700
2020-06-29,52700,2700,50000,2700
2020-06-29,52700,2700,50000,2700
2020-06-29,306000,0,296000,5100
2020-06-29,306000,0,296000,5100
2020-06-29,174650,3650,171000,3600
2020-06-29,727500,8000,719500,7500
2020-06-29,52700,2700,50000,2700
2020-06-29,52700,2700,50000,2700
2020-06-29,225100,5300,219800,5100
2020-06-29,123600,3650,119950,3600
2020-06-29,642500,8000,634500,7500
2020-06-29,306000,0,296000,5100
2020-06-29,225100,5300,219800,5100
2020-06-29,42350,2350,40000,2300
2020-06-29,366000,6500,359500,6000
2020-06-29,486500,7000,479500,6500
2020-06-29,52700,2700,50000,2700
2020-06-29,225100,5300,219800,5100
2020-06-29,62700,2700,60000,2700
2020-06-29,306000,0,296000,5100
2020-06-29,306000,0,296000,5100
2020-06-29,123600,3650,119950,3600
2020-06-29,306000,0,296000,5100
2020-06-29,306000,0,296000,5100
2020-06-29,225100,5300,219800,5100
2020-06-29,123600,3650,119950,3600
2020-06-29,245100,5300,239800,5100
2020-06-29,225100,5300,219800,5100
2020-06-30,21700,0,11700,1400
2020-06-30,11400,0,1400,300
2020-06-30,11400,0,1400,300
2020-06-30,144600,3650,140950,3600
2020-06-30,110600,3650,106950,3600
2020-06-30,169600,3650,165950,3600
2020-06-30,245100,5300,239800,5100
2020-06-30,183600,3650,179950,3600
2020-06-30,2208000,8000,2200000,8000
2020-06-30,21700,0,11700,1400
2020-06-30,245100,5300,239800,5100
2020-06-30,163600,3650,159950,3600
2020-06-30,121600,3650,117950,3600
2020-06-30,127600,3650,123950,3600
2020-06-30,392000,6500,385500,6000
2020-06-30,42300,0,32300,1750
2020-06-30,418500,7000,411500,6500
2020-06-30,64700,2700,62000,2700
2020-06-30,215100,5300,209800,5100
2020-06-30,72700,2700,70000,2700
2020-06-30,164600,3650,160950,3600
2020-06-30,42300,0,32300,1750
2020-06-30,62700,2700,60000,2700
2020-06-30,219100,5300,213800,5100
2020-06-30,92700,2700,90000,2700
2020-06-30,103600,0,93600,2700
2020-06-30,92700,2700,90000,2700
2020-06-30,92700,2700,90000,2700
2020-06-30,187600,3650,183950,3600
2020-06-30,42300,0,32300,1750
2020-06-30,99700,2700,97000,2700
2020-06-30,31750,1850,29900,1700
2020-06-30,180600,3650,176950,3600
2020-06-30,82700,2700,80000,2700
2020-06-30,164600,3650,160950,3600
2020-06-30,123600,3650,119950,3600
2020-06-30,92700,2700,90000,2700
2020-06-30,31750,1850,29900,1700
2020-06-30,42300,0,32300,1750
2020-06-30,21700,0,11700,1400
2020-06-30,94700,2700,92000,2700
2020-06-30,306000,0,296000,5100
2020-06-30,58700,2700,56000,2700
2020-06-30,72700,2700,70000,2700
2020-06-30,5850,0,-4150,0
2020-06-30,50300,2350,47950,2300
2020-06-30,169600,3650,165950,3600
2020-06-30,123600,3650,119950,3600
2020-06-30,245100,5300,239800,5100
2020-06-30,66700,2700,64000,2700
2020-06-30,21700,0,11700,1400
2020-06-30,42300,0,32300,1750
2020-06-30,48300,2350,45950,2300
2020-06-30,100700,2700,98000,2700
2020-06-30,205100,0,195100,3600
2020-06-30,406500,0,396500,6000
2020-06-30,103600,0,93600,2700
2020-06-30,92700,2700,90000,2700
2020-06-30,142600,3650,138950,3600
2020-06-30,245100,5300,239800,5100
2020-06-30,21700,0,11700,1400
2020-06-30,52700,2700,50000,2700
2020-06-30,169600,3650,165950,3600
2020-06-30,103600,0,93600,2700
2020-06-30,21700,0,11700,1400
2020-06-30,21700,0,11700,1400
2020-06-30,171600,3650,167950,3600
2020-06-30,85700,2700,83000,2700
2020-06-30,86700,2700,84000,2700
2020-06-30,104600,3650,100950,3600
2020-06-30,169600,3650,165950,3600
2020-06-30,169600,3650,165950,3600
2020-06-30,54700,2700,52000,2700
2020-06-30,42300,0,32300,1750
2020-06-30,123600,3650,119950,3600
2020-06-30,42300,0,32300,1750
2020-06-30,60700,2700,58000,2700
2020-06-30,42300,0,32300,1750
2020-06-30,46300,2350,43950,2300
2020-06-30,52700,2700,50000,2700
2020-06-30,245100,5300,239800,5100
2020-06-30,92700,2700,90000,2700
2020-06-30,42300,0,32300,1750
2020-06-30,90700,2700,88000,2700
2020-06-30,103600,0,93600,2700
2020-06-30,386000,6500,379500,6000
2020-06-30,21700,0,11700,1400
2020-06-30,306000,0,296000,5100
2020-06-30,46300,2350,43950,2300
2020-06-30,205100,0,195100,3600
2020-06-30,68700,2700,66000,2700
2020-06-30,46300,2350,43950,2300
2020-06-30,169600,3650,165950,3600
2020-06-30,56700,2700,54000,2700
2020-06-30,44300,2350,41950,2300
2020-06-30,60700,2700,58000,2700
2020-06-30,169600,3650,165950,3600
2020-06-30,164600,3650,160950,3600
2020-06-30,21700,0,11700,1400
2020-06-30,56700,2700,54000,2700
2020-06-30,92700,2700,90000,2700
2020-06-30,120600,3650,116950,3600
2020-06-30,70700,2700,68000,2700
2020-06-30,52700,2700,50000,2700
2020-06-30,62700,2700,60000,2700
2020-06-30,103600,0,93600,2700
2020-06-30,396000,6500,389500,6000
2020-06-30,169600,3650,165950,3600
2020-06-30,326000,6500,319500,6000
2020-06-30,68700,2700,66000,2700
2020-06-30,69700,2700,67000,2700
2020-06-30,169600,3650,165950,3600
2020-06-30,183600,3650,179950,3600
2020-06-30,245100,5300,239800,5100
2020-06-30,154600,3650,150950,3600
