trans_date,transaction_amount
2020-07-06,163650
2020-07-06,52700
2020-07-06,306500
2020-07-06,31850
2020-07-06,407000
2020-07-06,62700
2020-07-06,306500
2020-07-06,173650
2020-07-06,808000
2020-07-06,306500
2020-07-06,306500
2020-07-06,52700
2020-07-06,163650
2020-07-06,163650
2020-07-06,11450
2020-07-06,52700
2020-07-06,123650
2020-07-06,42350
2020-07-06,31850
2020-07-06,26850
2020-07-06,20200
2020-07-06,82700
2020-07-06,487000
2020-07-07,123650
2020-07-07,123650
2020-07-07,143650
2020-07-07,153650
2020-07-07,143650
2020-07-07,42350
2020-07-07,21850
2020-07-07,31850
2020-07-07,143650
2020-07-07,163650
2020-07-08,52700
2020-07-08,52700
2020-07-08,42350
2020-07-08,52700
2020-07-08,52700
2020-07-08,407000
2020-07-08,52700
2020-07-08,42350
2020-07-08,20200
2020-07-08,407000
2020-07-08,42350
2020-07-08,21850
2020-07-08,21850
2020-07-08,52700
2020-07-08,92700
2020-07-08,407000
2020-07-08,26850
2020-07-08,52700
2020-07-08,407000
2020-07-08,1248000
2020-07-08,26850
2020-07-08,52700
2020-07-08,42350
2020-07-08,52700
2020-07-08,26850
2020-07-08,306000
2020-07-08,52700
2020-07-08,52700
2020-07-08,52700
2020-07-08,52700
2020-07-08,26850
2020-07-08,42350
2020-07-08,42350
2020-07-08,52700
2020-07-08,20200
2020-07-08,52700
2020-07-08,193650
2020-07-08,26850
2020-07-08,20200
2020-07-08,306000
2020-07-08,20200
2020-07-08,21850
2020-07-08,306000
2020-07-08,31850
2020-07-08,178650
2020-07-08,52700
2020-07-08,52700
2020-07-08,52700
2020-07-08,123650
2020-07-08,52700
2020-07-08,1108000
2020-07-08,26850
2020-07-09,21700
2020-07-09,183650
2020-07-09,62700
2020-07-09,123650
2020-07-09,103600
2020-07-09,103600
2020-07-09,52700
2020-07-09,245100
2020-07-09,607500
2020-07-09,50300
2020-07-09,153600
2020-07-09,135600
2020-07-09,153650
2020-07-09,52700
2020-07-09,407000
2020-07-09,21700
2020-07-09,218600
2020-07-09,92700
2020-07-09,153600
2020-07-09,62700
2020-07-09,153600
2020-07-09,52700
2020-07-09,52700
2020-07-09,245100
2020-07-09,153600
2020-07-09,218600
2020-07-09,205100
2020-07-09,52700
2020-07-09,306000
2020-07-09,21700
2020-07-09,123600
2020-07-09,62700
2020-07-09,31750
2020-07-09,123650
2020-07-09,366500
2020-07-09,1114250
2020-07-09,224100
2020-07-09,153650
2020-07-09,103600
2020-07-09,103600
2020-07-09,123600
2020-07-09,21700
2020-07-09,52700
2020-07-09,183600
2020-07-09,153600
2020-07-09,153600
2020-07-09,97700
2020-07-09,153650
2020-07-09,123600
2020-07-09,153600
2020-07-09,183650
2020-07-09,667500
2020-07-09,123600
2020-07-09,21850
2020-07-09,123600
2020-07-09,103600
2020-07-09,407000
2020-07-09,103650
2020-07-09,163650
2020-07-09,76700
2020-07-09,123600
2020-07-09,62700
2020-07-09,486500
2020-07-09,123600
2020-07-09,486500
2020-07-09,1445400
2020-07-09,72700
2020-07-09,245100
2020-07-09,103600
2020-07-09,153600
2020-07-09,214100
2020-07-09,87700
2020-07-09,26850
2020-07-09,517000
2020-07-09,123600
2020-07-09,103600
2020-07-09,21700
2020-07-09,52700
2020-07-09,245100
2020-07-09,103600
2020-07-09,123650
2020-07-09,153600
2020-07-09,103600
